% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
7311	1	1	1	0	28	2292	0	1	0
7311	2	2	1	0	28	2292	0	1	0
7411	1	1	1	0	28	2292	0	1	0
7411	2	2	1	0	28	2292	0	1	0
7511	1	1	1	0	28	2292	0	1	0
7511	2	2	1	0	28	2292	0	1	0
7611	1	1	1	0	28	2292	0	1	0
7611	2	2	1	0	28	2292	0	1	0
7711	1	1	1	0	28	2292	0	1	0
7711	2	2	1	0	28	2292	0	1	0
7811	1	1	1	0	28	2292	0	1	0
7811	2	2	1	0	28	2292	0	1	0
7911	1	1	1	0	28	2292	0	1	0
7911	2	2	1	0	28	2292	0	1	0
8011	1	1	1	0	28	2292	0	1	0
8011	2	2	1	0	28	2292	0	1	0
8111	1	1	1	0	28	2292	0	1	0
8111	2	2	1	0	28	2292	0	1	0
8211	1	1	1	0	28	2292	0	1	0
8211	2	2	1	0	28	2292	0	1	0
8311	1	1	1	0	28	2292	0	1	0
8311	2	2	1	0	28	2292	0	1	0
8411	1	1	1	0	28	2292	0	1	0
8411	2	2	1	0	28	2292	0	1	0
