% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
7.605	1	1	761	6	1	28	2292	0
7.605	2	2	761	6	1	28	2292	0
7.705	1	1	771	6	1	28	2292	0
7.705	2	2	771	6	1	28	2292	0
7.805	1	1	781	6	1	28	2292	0
7.805	2	2	781	6	1	28	2292	0
7.905	1	1	791	6	1	28	2292	0
7.905	2	2	791	6	1	28	2292	0
8.005	1	1	801	6	1	28	2292	0
8.005	2	2	801	6	1	28	2292	0
8.105	1	1	811	6	1	28	2292	0
8.105	2	2	811	6	1	28	2292	0
8.205	1	1	821	6	1	28	2292	0
8.205	2	2	821	6	1	28	2292	0
8.305	1	1	831	6	1	28	2292	0
8.305	2	2	831	6	1	28	2292	0
8.405	1	1	841	6	1	28	2292	0
8.405	2	2	841	6	1	28	2292	0
